Const. No.,Constituency,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party
86,NANDED NORTH,BALAJI DEVIDASRAO KALYANKAR,Shiv Sena,ABDUL SATTAR A GAFFOOR,Indian National Congress
238,NILANGA,NILANGEKAR SAMBHAJI DILIPRAO PATIL,Bharatiya Janata Party,ABHAY SATISH SALUNKE,Indian National Congress
225,AHMEDNAGAR CITY,SANGRAM ARUNKAKA JAGTAP,Nationalist Congress Party,ABHISHEK BALASAHEB KALAMKAR,Nationalist Congress Party – Sharadchandra Pawar
1,AKKALKUWA,AMSHYA FULJI PADVI,Shiv Sena,ADV K C PADAVI,Indian National Congress
222,SHEVGAON,MONICA RAJEEV RAJALE,Bharatiya Janata Party,ADV. DHAKNE PRATAPRAO BABANRAO,Nationalist Congress Party – Sharadchandra Pawar
20,MUKTAINAGAR,CHANDRAKANT NIMBA PATIL,Shiv Sena,ADV. KHADSE ROHINI EKNATHRAO,Nationalist Congress Party – Sharadchandra Pawar
119,YEVLA,CHHAGAN BHUJBAL,Nationalist Congress Party,ADV. MANIKRAO MADHAVRAO SHINDE,Nationalist Congress Party – Sharadchandra Pawar
253,SANGOLE,DR. BABASAHEB ANNASAHEB DESHMUKH,Peasants And Workers Party of India,ADV. SHAHAJIBAPU RAJARAM PATIL,Shiv Sena
39,TEOSA,RAJESH SHRIRAMJI WANKHADE,Bharatiya Janata Party,ADV. YASHOMATI CHANDRAKANT THAKUR,Indian National Congress
65,GONDIYA,AGRAWAL VINOD,Bharatiya Janata Party,AGRAWAL GOPALDAS SHANKARLAL,Indian National Congress
30,AKOLA WEST,SAJID KHAN PATHAN,Indian National Congress,AGRAWAL VIJAY KAMALKISHOR,Bharatiya Janata Party
242,OSMANABAD,KAILAS BALASAHEB GHADGE PATIL,Shiv Sena (Uddhav Balasaheb Thackeray),AJIT BAPPASAHEB PINGLE,Shiv Sena
207,BHOSARI,MAHESH (DADA) KISAN LANDGE,Bharatiya Janata Party,AJIT DAMODAR GAVHANE,Nationalist Congress Party – Sharadchandra Pawar
251,SOLAPUR SOUTH,DESHMUKH SUBHASH SURESHCHANDRA,Bharatiya Janata Party,AMAR RATIKANT PATIL,Shiv Sena (Uddhav Balasaheb Thackeray)
175,KALINA,SANJAY GOVIND POTNIS,Shiv Sena (Uddhav Balasaheb Thackeray),AMARJEET AWADHNARAYAN SINGH,Bharatiya Janata Party
216,AKOLE,DR. KIRAN YAMAJI LAHAMATE,Nationalist Congress Party,AMIT ASHOK BHANGARE,Nationalist Congress Party – Sharadchandra Pawar
262,SATARA,SHIVENDRARAJE ABHAYSINHRAJE BHONSLE,Bharatiya Janata Party,AMIT GENUJI KADAM,Shiv Sena (Uddhav Balasaheb Thackeray)
96,PARBHANI,DR. RAHUL VEDPRAKASH PATIL,Shiv Sena (Uddhav Balasaheb Thackeray),ANAND SHESHRAO BHAROSE,Shiv Sena
33,RISOD,AMEET SUBHASHRAO ZANAK,Indian National Congress,ANANTRAO VITTHALRAO DESHMUKH,Independent
121,NIPHAD,BANKAR DILIPRAO SHANKARRAO,Nationalist Congress Party,ANIL (ANNA) SAHEBRAO KADAM,Shiv Sena (Uddhav Balasaheb Thackeray)
193,SHRIVARDHAN,ADITI SUNIL TATKARE,Nationalist Congress Party,ANIL DATTARAM NAVGANE,Nationalist Congress Party – Sharadchandra Pawar
204,MAVAL,SUNIL SHANKARRAO SHELKE,Nationalist Congress Party,ANNA ALIAS BAPU JAYWANTRAO BHEGADE,Independent
16,ERANDOL,AMOL CHIMANRAO PATIL,Shiv Sena,ANNASAHEB DR. SATISH BHASKARRAO PATIL,Nationalist Congress Party – Sharadchandra Pawar
49,SAVNER,DR ASHISHRAO DESHMUKH,Bharatiya Janata Party,ANUJA SUNIL KEDAR,Indian National Congress
256,WAI,MAKRAND LAXMANRAO JADHAV (PATIL),Nationalist Congress Party,ARUNADEVI SHASHIKANT PISAL,Nationalist Congress Party – Sharadchandra Pawar
99,PARTUR,BABANRAO DATTATRAY YADAV (LONIKAR),Bharatiya Janata Party,ASARAM JIJABHAU BORADE (A. J. PATIL),Shiv Sena (Uddhav Balasaheb Thackeray)
165,ANDHERI WEST,AMEET BHASKAR SATAM,Bharatiya Janata Party,ASHOK BHAU JADHAV,Indian National Congress
198,SHIRUR,DNYANESHWAR ALIAS MAULI ABA KATKE,Nationalist Congress Party,ASHOK RAOSAHEB PAWAR,Nationalist Congress Party – Sharadchandra Pawar
212,PARVATI,MADHURI SATISH MISAL,Bharatiya Janata Party,ASHWINI NITIN KADAM,Nationalist Congress Party – Sharadchandra Pawar
177,VANDRE WEST,ADV. ASHISH SHELAR,Bharatiya Janata Party,ASIF AHMED ZAKARIA,Indian National Congress
114,MALEGAON CENTRAL,MUFTI MOHAMMAD ISMAIL ABDUL KHALIQUE,All India Majlis-E-Ittehadul Muslimeen,ASIF SHAIKH RASHEED,Indian Secular Largest Assembly of Maharashtra
171,MANKHURD SHIVAJI NAGAR,ABU ASIM AZMI,Samajwadi Party,ATEEQUE AHMAD KHAN,All India Majlis-E-Ittehadul Muslimeen
46,HINGANGHAT,SAMIR TRYAMBAKRAO KUNAWAR,Bharatiya Janata Party,ATUL NAMDEVRAO WANDILE,Nationalist Congress Party – Sharadchandra Pawar
106,PHULAMBRI,ANURADHA ATUL CHAVAN,Bharatiya Janata Party,AUTADE VILAS KESHAVRAO,Indian National Congress
62,SAKOLI,NANABHAU FALGUNRAO PATOLE,Indian National Congress,AVINASH ANANDRAO BRAHMANKAR,Bharatiya Janata Party
278,HATKANANGLE,DALITMITRA DR.ASHOKRAO MANE(BAPU,Jan Surajya Shakti,AWALE RAJU(BABA) JAYWANTRAO,Indian National Congress
136,BHIWANDI WEST,CHOUGHULE MAHESH PRABHAKAR,Bharatiya Janata Party,AZMI RIYAJ MUQEEMUDDIN,Samajwadi Party
102,BADNAPUR,KUCHE NARAYAN TILAKCHAND,Bharatiya Janata Party,BABLU NEHRULAL CHOUDHARY,Nationalist Congress Party – Sharadchandra Pawar
42,ACHALPUR,PRAVIN VASANTRAO TAYADE,Bharatiya Janata Party,BACCHU B. KADU,Prahar Janshakti Party
228,GEORAI,VIJAYSINH SHIVAJIRAO PANDIT,Nationalist Congress Party,BADAMRAO LAHURAO PANDIT,Shiv Sena (Uddhav Balasaheb Thackeray)
125,NASHIK WEST,HIRAY SEEMA MAHESH,Bharatiya Janata Party,BADGUJAR SUDHAKAR (BHAU) BHIKA,Shiv Sena (Uddhav Balasaheb Thackeray)
214,PUNE CANTONMENT,KAMBLE SUNIL DYANDEV,Bharatiya Janata Party,BAGWE RAMESH ANANDRAO,Indian National Congress
266,RATNAGIRI,UDAY RAVINDRA SAMANT,Shiv Sena,BAL MANE,Shiv Sena (Uddhav Balasaheb Thackeray)
183,SHIVADI,AJAY VINAYAK CHOUDHARI,Shiv Sena (Uddhav Balasaheb Thackeray),BALA DAGDU NANDGAONKAR,Maharashtra Navnirman sena
188,PANVEL,PRASHANT RAMSHETH THAKUR,Bharatiya Janata Party,BALARAM DATTATREY PATIL,Peasants And Workers Party of India
217,SANGAMNER,AMOL DHONDIBA KHATAL,Shiv Sena,BALASAHEB BHAUSAHEB THORAT,Indian National Congress
37,BADNERA,RAVI GANGADHAR RANA,Rashtriya Yuva Swabhiman Party,BAND PRITI SANJAY,Independent
104,SILLOD,ABDUL SATTAR,Shiv Sena,BANKAR SURESH PANDURANG,Shiv Sena (Uddhav Balasaheb Thackeray)
63,ARJUNI MORGAON,BADOLE RAJKUMAR SUDAM,Nationalist Congress Party,BANSOD DILIP WAMAN,Indian National Congress
135,SHAHAPUR,DAULAT BHIKA DARODA,Nationalist Congress Party,BARORA PANDURANG MAHADU,Nationalist Congress Party – Sharadchandra Pawar
138,KALYAN WEST,VISHWANATH ATMARAM BHOIR,Shiv Sena,BASARE SACHIN DILIP,Shiv Sena (Uddhav Balasaheb Thackeray)
8,SINDKHEDA,JAYKUMAR JITENDRASINH RAWAL,Bharatiya Janata Party,BEDSE SANDEEP TRYAMBAKRAO,Nationalist Congress Party – Sharadchandra Pawar
264,GUHAGAR,JADHAV BHASKAR BHAURAO,Shiv Sena (Uddhav Balasaheb Thackeray),BENDAL RAJESH RAMCHANDRA,Shiv Sena
252,PANDHARPUR,AUTADE SAMADHAN MAHADEO,Bharatiya Janata Party,BHALAKE BHAGIRATHDADA BHARAT,Indian National Congress
95,JINTUR,BORDIKAR MEGHNA DEEPAK SAKORE,Bharatiya Janata Party,BHAMBLE VIJAY MANIKRAO,Nationalist Congress Party – Sharadchandra Pawar
220,SHRIRAMPUR,OGALE HEMANT BHUJANGRAO,Indian National Congress,BHAUSAHEB MALHARI KAMBLE,Shiv Sena
185,MALABAR HILL,MANGAL PRABHAT LODHA,Bharatiya Janata Party,BHERULAL DAYALAL CHOUDHARY,Shiv Sena (Uddhav Balasaheb Thackeray)
231,ASHTI,DHAS SURESH RAMCHANDRA,Bharatiya Janata Party,BHIMRAO ANANDRAO DHONDE,Independent
113,NANDGAON,SUHAS (AANNA) DWARKANATH KANDE,Shiv Sena,BHUJBAL SAMEER,Independent
129,VIKRAMGAD,BHOYE HARISHCHANDRA SAKHARAM,Bharatiya Janata Party,BHUSARA SUNIL(BHAU) CHANDRAKANT,Nationalist Congress Party – Sharadchandra Pawar
