Party Name,Total Seats
Bharatiya Janata Party - BJP,132
Shiv Sena - SHS,57
Nationalist Congress Party - NCP,41
Shiv Sena (Uddhav Balasaheb Thackeray) - SHSUBT,20
Indian National Congress - INC,16
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,10
Samajwadi Party - SP,2
Jan Surajya Shakti - JSS,2
Rashtriya Yuva Swabhiman Party - RSHYVSWBHM,1
Rashtriya Samaj Paksha - RSPS,1
All India Majlis-E-Ittehadul Muslimeen - AIMIM,1
Communist Party of India  (Marxist) - CPI(M),1
Peasants And Workers Party of India - PWPI,1
Rajarshi Shahu Vikas Aghadi - RSVA,1
Independent - IND,2
