Constituency,Winning Candidate,Total Votes,Margin,Party
SHAHADA(2),RAJESH UDESING PADVI,146839,53204,BJP
NANDURBAR(3),DR.VIJAYKUMAR KRUSHANRAO GAVIT,155190,76247,BJP
DHULE RURAL(6),RAGHAVENDRA (RAMDADA) MANOHAR PATIL,170398,66320,BJP
DHULE CITY(7),AGRAWAL ANUPBHAIYYA OMPRAKASH,116538,45750,BJP
SINDKHEDA(8),JAYKUMAR JITENDRASINH RAWAL,151492,95884,BJP
SHIRPUR(9),KASHIRAM VECHAN PAWARA,178073,145944,BJP
RAVER(11),AMOL HARIBHAU JAWALE,113676,43562,BJP
BHUSAWAL(12),SAVKARE SANJAY WAMAN,107259,47488,BJP
JALGAON CITY(13),SURESH DAMU BHOLE (RAJU MAMA),151536,87503,BJP
CHALISGAON(17),MANGESH RAMESH CHAVAN,157101,85653,BJP
JAMNER(19),GIRISH DATTATRAY MAHAJAN,128667,26885,BJP
MALKAPUR(21),CHAINSUKH MADANLAL SANCHETI,109921,26397,BJP
CHIKHLI(23),SHWETA VIDYADHAR MAHALE,109212,3201,BJP
KHAMGAON(26),AKASH PANDURANG FUNDKAR,110599,25477,BJP
JALGAON (JAMOD)(27),KUTE SANJAY SHRIRAM,107318,18771,BJP
AKOT(28),PRAKASH GUNWANT BHARSAKLE,93338,18851,BJP
AKOLA EAST(31),RANDHIR PRALHADRAO SAWARKAR,108619,50613,BJP
MURTIZAPUR(32),HARISH MAROTIAPPA PIMPLE,91820,35864,BJP
WASHIM(34),SHYAM RAMCHARAN KHODE,122914,19874,BJP
KARANJA(35),SAI PRAKASH DAHAKE,85005,35073,BJP
DHAMANGAON RAILWAY(36),ADSAD PRATAP ARUNBHAU,110641,16228,BJP
TEOSA(39),RAJESH SHRIRAMJI WANKHADE,99664,7617,BJP
MELGHAT(41),KEWALRAM TULSIRAM KALE,145978,106859,BJP
ACHALPUR(42),PRAVIN VASANTRAO TAYADE,78201,12131,BJP
MORSHI(43),UMESH ALIAS CHANDU ATMARAMJI YAWALKAR,99683,64988,BJP
ARVI(44),SUMIT WANKHEDE,101397,39574,BJP
DEOLI(45),RAJESH BHAURAO BAKANE,90319,9308,BJP
