Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31
ACHALPUR,42,PRAVIN VASANTRAO TAYADE,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,BACCHU B. KADU,"Prahar Janshakti Party
iParty Wise State TrendsLeading In:0Won In:0Trailing In:0",Prahar Janshakti Party,iParty Wise State TrendsLeading In:0Won In:0Trailing In:0,Leading In,:,0,Won In,:,0,Trailing In,:,0,12131,23/23,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prahar Janshakti Party,iParty Wise State TrendsLeading In:0Won In:0Trailing In:0,Leading In,:,0,Won In,:,0,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHERI,69,ATRAM DHARAMRAOBABA BHAGWANTRAO,Nationalist Congress PartyiParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,RAJE AMBRISH RAO RAJE SATYAVANRAO ATRAM,"Independent
iParty Wise State TrendsLeading In:0Won In:2Trailing In:0",Independent,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,16814,22/22,Result Declared
